floozie floozy
floozy floosy
flukey fluky
flunkey flunky
flutter flitter
flyer flier
foetus fetus
fogey fogy
fondue fondu
foregather forgather
formosa taiwan
foulmouthed foulspoken
frankforter frankfort
frankfurter frankfurt
freebie freebee
frizz friz
frowzy frowsy
fryer frier
fulfill fulfil
fulfillment fulfilment
fullness fulness
furore furor
gamey gamy
garret attic
garrote garotte
gasoline gasolene
gauntlet gantlet
gayety gaiety
gayly gaily
genova genoa
genuflection genuflexion
ginkgo gingko
girlie girly
gizeh giza
glamour glamor
glycerine glycerin
gobbledygook gobbledegook
goddamn goddam
goddamned goddam
goitre goiter
golliwogg golliwog
goloshes galoshes
gomorrha gomorrah
gonorrhoea gonorrhea
goodbye goodby
gorse furze
gothenburg goteborg
graphical graphic
grey gray
greyish grayish
grotto grot
gryphon griffin
guerrilla guerilla
guilder gilder
guilder gulden
gutty gutsy
gynaecologist gynecologist
gynaecology gynecology
gypsy gipsy
haemoglobin hemoglobin
haemophilia hemophilia
haemorrhage hemorrhage
haemorrhoids hemorrhoids
hairsbreadth hairbreadth
halleluiah alleluia
hallelujah alleluia
halloa hallo
handkerchief hankie
handkerchief hanky
handsel hansel
harbour harbor
harbourage harborage
hardcover hardback
hasheesh hashish
haulier hauler
haystack hayrick
headforemost headfirst
headlight headlamp
headphones headset
hearken harken
hectogramme hectogram
hectolitre hectoliter
hectometre hectometer
hercules heracles
hereabouts hereabout
hereditable heritable
hereunto hereto
hereupon hereon
hesitancy hesitance
hiccough hiccup
hierarchical hierarchal
hierarchical hierarchic
highflyer highflier
highjack hijack
hindoo hindu
hippie hippy
hollowware holloware
homey homy
homoeopathy homeopathy
homosexual homo
honour honor
honourable honorable
honourably honorably
hookah hooka
hookey hooky
horsey horsy
hortatory hortative
hotelkeeper hotelier
hullo hello
hulloa hello
humour humor
hunchback humpback
hunchbacked humpbacked
hurrah hooray
hurray hurrah
hyaena hyena
hydromechanics hydrodynamics
hymnbook hymnal
ichthyosaurus ichthyosaur
idyll idyl
ikon icon
illusory illusive
imbed embed
imminency imminence
impanel empanel
impotency impotence
inadvertency inadvertence
inartistical inartistic
incase encase
incitement incitation
inclose enclose
inclosure enclosure
incognito incog
incoherency incoherence
incompetency incompetence
incontrovertible incontestable
incrust encrust
incrustation encrustation
incumber encumber
indorse endorse
indue endue
indulgency indulgence
inexpediency inexpedience
inflection inflexion
infold enfold
infrequency infrequence
ingraft engraft
innermost inmost
inquirer enquirer
inquiry enquiry
insistency insistence
insolvable insoluble
installment instalment
instill instil
interceptor intercepter
interdependency interdependence
intermingle intermix
interpretative interpretive
intonate intone
intrust entrust
inure enure
investigatory investigative
inwrap enwrap
iraq irak
ironical ironic
irradiancy irradiance
irrelevancy irrelevance
isoclinic isoclinal
isogonic isogonal
isometrical isometric
iteration iterance
jail gaol
jailbird gaolbird
jailer gaoler
jailor jailer
jasmine jasmin
jehovah yahveh
jehovah yahweh
jeweller jeweler
jibe gibe
jimmy jemmy
jinnee jinn
jinni jinn
judaea judea
jujutsu jujitsu
junkie junky
jupiter jove
kale kail
kalends calends
kaoline kaolin
kaputt kaput
kelt celt
keltic celtic
kerb curb
kerbstone curbstone
kerosine kerosene
ketchup catchup
ketchup catsup
kidnapper kidnaper
kilogramme kilogram
kilolitre kiloliter
kilometre kilometer
kindergartener kindergartner
kinema cinema
knickknack nicknack
knobbly knobby
kopeck copeck
kopeck kopek
labour labor
labourer laborer
labyrinthine labyrinthian
lacklustre lackluster
lacquey lackey
laddie laddy
ladybird ladybug
landslide landslip
lanoline lanolin
largesse largess
lariat lasso
leitmotiv leitmotif
leniency lenience
leonardo leonard
leukaemia leukemia
leveller leveler
lexicographical lexicographic
libellous libelous
license licence
liftman liftboy
linoleum lino
liquorice licorice
lissome lissom
litchi lichee
litchi lichi
lithesome lithe
litre liter
litterlout litterbug
liveable livable
loath loth
lodestar loadstar
lodgement lodgment
lollypop lollipop
longwise longways
loofah loofa
louvre louver
loveable lovable
lubricious lubricous
lucerne lucern
lupine lupin
lustre luster
lutenist lutanist
luxembourg luxemburg
lychee litchi
lynchpin linchpin
macabre macaber
mackintosh mac
mackintosh mack
maffia mafia
maisonnette maisonette
majestical majestic
malarian malarial
malarious malarial
malignancy malignance
mama mom
mandoline mandolin
mandragora mandrake
manilla manila
mannikin manikin
manoeuvre maneuver
marabout marabou
margarine margarin
margarine marge
marijuana marihuana
marquess marquis
marvellous marvelous
marvellously marvelously
masculine masc
mashie mashy
mathematical mathematic
maulstick mahlstick
mazourka mazurka
meagre meager
meanie meany
medallist medalist
mediaeval medieval
memorize memorise
menfolks menfolk
mephistophelian mephistophelean
mescaline mescalin
messieurs messrs
metre meter
miaou mew
miaow mew
microscopical microscopic
midshipman middy
millenarian millenary
milligramme milligram
millilitre milliliter
millimetre millimeter
millipede milleped
millipede millepede
millipede milliped
millpool millpond
misanthropical misanthropic
misbehaviour misbehavior
misdemeanour misdemeanor
misjudgement misjudgment
missus missis
mitre miter
mizzen mizen
modeller modeler
mohammed mahomet
mohican mahican
mollusk mollusc
momentarily momently
monarchial monarchal
monarchical monarchic
monologue monolog
moonstricken moonstruck
moorgame moorfowl
moorland moor
morphine morphia
mortgagor mortgager
mortise mortice
moskva moscow
motorcoach motorbus
moujik mujik
moulder molder
mouldy moldy
moult molt
moustache mustache
moveable movable
muhammad mohammed
muhammadan mohammedan
muhammadanism mohammedanism
multicoloured multicolored
multistorey multistory
musquash muskrat
mutt mut
muumuu mumu
mynah myna
naive naif
naivety naivete
nameable namable
nankeen nankin
naphthaline naphthalene
narcissism narcism
narcissist narcist
nationalize nationalise
naturalize naturalise
naziism nazism
negligee neglige
neighbourhood neighborhood
neighbourliness neighborliness
neighbourly neighborly
nellie nelly
neoclassical neoclassic
newsreader newscaster
nightgown nightie
nightgown nighty
nitre niter
nitroglycerine nitroglycerin
noblesse nobility
nodulated nodular
nomade nomad
nonesuch nonsuch
noninflammable nonflammable
nonpartizan nonpartisan
noontime noonday
normality normalcy
northeastwardly northeasterly
northman norseman
northwestwardly northwesterly
nosey nosy
novitiate noviciate
noways noway
nowise noway
numbskull numskull
numerical numeric
nurseling nursling
nurserymaid nursemaid
obbligato obligato
obstetrical obstetric
